# --- Large wilted bloom (bold and lower-right, half the sprite height) ---
11,9,180,0,0,255
12,9,200,0,0,255
13,9,160,0,0,255
12,10,150,0,0,255
13,10,130,0,0,255
14,10,100,0,0,255
13,11,80,0,0,255
14,11,70,0,0,255

# --- Petal shading for depth ---
11,10,100,0,0,255
12,11,90,0,0,255
13,12,60,0,0,255

# --- Green stem (thicker connection from foot, drooping downward-right) ---
12,13,0,100,0,255
13,14,0,90,0,255
13,15,0,90,0,255
14,15,0,80,0,255
14,16,0,70,0,255
15,16,0,70,0,255

# --- Slight bend for wilt effect ---
15,15,0,60,0,255
